slide_id,case_id,file_id,sample_type_code,tissue_slide_id,filename,file_size
TCGA-BB-7864-01Z-00-DX1,TCGA-BB-7864,8b86c50e-bf97-44e8-a614-9e22ff8bb1f4,01Z,DX1,TCGA-BB-7864-01Z-00-DX1.a8e9cdba-2026-4290-8e49-36086b65e806.svs,495371743
TCGA-BB-7866-01Z-00-DX1,TCGA-BB-7866,c247adc9-1b96-4f84-8324-d85bed842a84,01Z,DX1,TCGA-BB-7866-01Z-00-DX1.144872E0-8C08-42CC-ACDD-45D28F35517D.svs,971403931
TCGA-BB-7870-01Z-00-DX1,TCGA-BB-7870,10b42c59-fdce-45eb-b01b-065ef63bd23b,01Z,DX1,TCGA-BB-7870-01Z-00-DX1.6b49c1c8-19c4-4e0c-b4b5-f7e9e1ba782c.svs,691022547
TCGA-BB-7871-01Z-00-DX1,TCGA-BB-7871,8b8bf12b-7e58-4ab4-86d5-4f8e0502d6a5,01Z,DX1,TCGA-BB-7871-01Z-00-DX1.c062435e-5f17-48d0-af06-dd0253ddcf75.svs,552038105
TCGA-BB-7872-01Z-00-DX1,TCGA-BB-7872,e6bffa9a-ff5d-449a-a329-fd455b66a139,01Z,DX1,TCGA-BB-7872-01Z-00-DX1.0117273b-4be0-4f73-b408-88721fa52e67.svs,870850925
TCGA-BB-8596-01Z-00-DX1,TCGA-BB-8596,700dd7b7-c445-40aa-a776-ae32f3caa5c8,01Z,DX1,TCGA-BB-8596-01Z-00-DX1.F354D65B-F1F9-447C-8C6A-519140FC4549.svs,619978783
TCGA-BB-8601-01Z-00-DX1,TCGA-BB-8601,c14455e9-9ee5-4ed6-9780-2a278c00ae27,01Z,DX1,TCGA-BB-8601-01Z-00-DX1.A226FE85-28D7-44C1-8330-CC687677EC59.svs,1245982111
TCGA-BB-A5HU-01Z-00-DX1,TCGA-BB-A5HU,ce2efec9-711e-42f9-9047-365a2b954343,01Z,DX1,TCGA-BB-A5HU-01Z-00-DX1.B9A51FFE-D49C-478E-82C9-ABB7AA43EA4E.svs,818235829
TCGA-BB-A5HY-01Z-00-DX1,TCGA-BB-A5HY,fe38bed2-63f8-49ce-8ba3-8780ab75ffe4,01Z,DX1,TCGA-BB-A5HY-01Z-00-DX1.0BDC44E8-17E5-4907-9C9B-417FF335AEC8.svs,1429932269
TCGA-BB-A5HZ-01Z-00-DX1,TCGA-BB-A5HZ,88a9dcb4-85df-444a-a69c-af9687c6a695,01Z,DX1,TCGA-BB-A5HZ-01Z-00-DX1.4EAE9F9E-7118-4BDB-9FC9-344BC5E2AF46.svs,1258180245
TCGA-BB-A6UM-01Z-00-DX1,TCGA-BB-A6UM,037ecfce-3fd0-4ec4-b35e-1d3179e439f8,01Z,DX1,TCGA-BB-A6UM-01Z-00-DX1.403D4D0A-83F4-4D2F-9CBB-C7A1470AC565.svs,1474718589
TCGA-BB-A6UO-01Z-00-DX1,TCGA-BB-A6UO,5184a969-9ff0-41fb-8a2b-53c765ebe8e3,01Z,DX1,TCGA-BB-A6UO-01Z-00-DX1.11D049DC-EFC3-47EB-B390-A694BFD304A2.svs,885895571
TCGA-C9-A47Z-01Z-00-DX1,TCGA-C9-A47Z,6d35592f-67cd-40a0-ac24-3964875a3328,01Z,DX1,TCGA-C9-A47Z-01Z-00-DX1.7999EE26-CB1A-464D-8E88-F3122F8D1A41.svs,1039633846
TCGA-C9-A480-01Z-00-DX1,TCGA-C9-A480,100a765e-0ba9-4284-8710-b9b87ae73b91,01Z,DX1,TCGA-C9-A480-01Z-00-DX1.24793EF4-30F2-46DF-A64E-52021F132EE0.svs,880436624
TCGA-CN-4722-01Z-00-DX1,TCGA-CN-4722,d74acd4e-4ae2-40a4-9c1d-18f9cdfff72f,01Z,DX1,TCGA-CN-4722-01Z-00-DX1.cf599bd8-c285-4f44-82d0-64f4b453d5e5.svs,355816399
TCGA-CN-4723-01Z-00-DX1,TCGA-CN-4723,81742b94-3b31-4af8-8631-e66e0c3a3f3d,01Z,DX1,TCGA-CN-4723-01Z-00-DX1.13483e7b-9322-4d39-8cd6-91e898bf2ee9.svs,642005963
TCGA-CN-4725-01Z-00-DX1,TCGA-CN-4725,6cbf2302-1aa2-43fd-b1fd-fc5a34402dca,01Z,DX1,TCGA-CN-4725-01Z-00-DX1.fe518acf-cceb-4be4-b01a-63d66248d6d4.svs,103134959
TCGA-CN-4726-01Z-00-DX1,TCGA-CN-4726,5bf71b80-1e58-4530-bd45-9caeb65d00cc,01Z,DX1,TCGA-CN-4726-01Z-00-DX1.0ddf44ae-1cb7-41f1-8b59-a5a689f5a71c.svs,25600421
TCGA-CN-4727-01Z-00-DX1,TCGA-CN-4727,298ed2fe-6c6d-4cf4-aab5-4997860ce8ed,01Z,DX1,TCGA-CN-4727-01Z-00-DX1.bee9d488-0f05-4579-8c34-aa4197972bb1.svs,143799473
TCGA-CN-4728-01Z-00-DX1,TCGA-CN-4728,fb426389-063f-4b05-ab07-ee8f188a8129,01Z,DX1,TCGA-CN-4728-01Z-00-DX1.69fc04ce-cc6b-4c63-9322-b5ffb0056828.svs,140258525
TCGA-CN-4729-01Z-00-DX1,TCGA-CN-4729,4378e9ec-5145-4aa0-8f3d-368c9b11aa72,01Z,DX1,TCGA-CN-4729-01Z-00-DX1.fd5f9170-c35b-4095-aff3-4c95921e0e68.svs,285728447
TCGA-CN-4730-01Z-00-DX1,TCGA-CN-4730,6ea59147-a296-4027-9e73-730743c8acd7,01Z,DX1,TCGA-CN-4730-01Z-00-DX1.a76280e8-6591-4d51-afc9-2f01e87346ab.svs,333840621
TCGA-CN-4731-01Z-00-DX1,TCGA-CN-4731,93aac741-b2e8-483e-9790-616f4d4a310b,01Z,DX1,TCGA-CN-4731-01Z-00-DX1.07b0bf3b-77f3-4471-a63c-1afc54714a60.svs,312285223
TCGA-CN-4733-01Z-00-DX1,TCGA-CN-4733,66a2d1a8-d28e-46d2-bc85-f19fc68dfdaf,01Z,DX1,TCGA-CN-4733-01Z-00-DX1.03cccb3f-c551-450f-b00a-f808a237db0b.svs,183090017
TCGA-CN-4734-01Z-00-DX1,TCGA-CN-4734,2a8025ff-9955-4afd-94d5-7c79f659eb3a,01Z,DX1,TCGA-CN-4734-01Z-00-DX1.9cd35e43-7132-478a-9d08-a88d150b7127.svs,182852817
